Room_URI,Room,Capacity,Institute,Approval Mode,Availability,Building,Address,Room Number
/events/roomSchedule.xhtml?windowId=ae2&roomCode=SEMN,Seminarraum von Neumann,25,E184,via TISS,Verfügbar,Institutsgebäude,"Favoritenstr. 9-11, EG, Zugang vom Innenhof",HBEG16
/events/roomSchedule.xhtml?windowId=ae2&roomCode=166S,Sitzungszimmer BI 03A03,12,E166,persönlich,Verfügbar,Loschmitdt Trakt,"Getreidemarkt 9, Bauteil BI Loschmidttrakt,4.OG",BI03A03
/events/roomSchedule.xhtml?windowId=ae2&roomCode=THE1,Theresianumgasse HS 1,72,E402,via TISS,Verfügbar,Außenstandort,"Theresianumg. 27,",QA0101
/events/roomSchedule.xhtml?windowId=ae2&roomCode=THE2,Theresianumgasse HS 2,40,E402,via TISS,Verfügbar,Außenstandort,"Theresianumg. 27,",QA0105
/events/roomSchedule.xhtml?windowId=ae2&roomCode=LABF,Werkstätte für Fertigungstechnik,16,,persönlich,Verfügbar,Lab.f.Fert.Technik,"Engerthstr. 119,",PCEG01
/events/roomSchedule.xhtml?windowId=ae2&roomCode=ZS13,Zeichensaal 13,35,E401,persönlich,Verfügbar,Hauptgebäude,"Karlsplatz 13, Hauptgebäude, Stiege 4, 1. Stock",AC0144
/events/roomSchedule.xhtml?windowId=ae2&roomCode=ZS14,Zeichensaal 14,25,E401,persönlich,Verfügbar,Hauptgebäude,"Karlsplatz 13, Hauptgebäude, Stiege 4, 1. Stock",AC0138
/events/roomSchedule.xhtml?windowId=ae2&roomCode=ZS15,Zeichensaal 15,35,E401,persönlich,Verfügbar,Hauptgebäude,"Karlsplatz 13, Hauptgebäude, Stiege1, 3. Stock",AA0348
/events/roomSchedule.xhtml?windowId=ae2&roomCode=ZS2,Zeichensaal 2,25,E401,persönlich,Verfügbar,Hauptgebäude,"Karlsplatz 13, Hauptgebäude, Stiege 4, 3. Stock",AC0324
/events/roomSchedule.xhtml?windowId=ae2&roomCode=ZS8,Zeichensaal 8,25,E401,persönlich,Verfügbar,Hauptgebäude,"Karlsplatz 13, Hauptgebäude, Stiege 4, 3.Stock",AC0329
/events/roomSchedule.xhtml?windowId=ae2&roomCode=ZSEGPT,Zeichensaal EG Panigltrakt,40,E401,persönlich,Verfügbar,Hauptgebäude,"Karlsplatz 13,",AFEG22
/events/roomSchedule.xhtml?windowId=ae2&roomCode=ZSKGPT,Zeichensaal KG Panigltrakt,30,E401,persönlich,Verfügbar,Hauptgebäude,"Karlsplatz 13,",AFU118
